name,url,description,test_type_codes,test_type_names,remote_testing,adaptive_irt,job_levels,languages,duration
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a com",,,True,False,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor",,
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling",,,True,True,"Professional Individual Contributor, Mid-Professional",English (USA),30 minutes
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),20 minutes
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
